  01/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  15/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  16/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  17/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  18/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  19/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  20/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  21/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  22/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  23/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  24/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  25/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  26/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  27/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  28/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  29/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  30/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  31/12/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  02/05/1893	   38 15 N	  123 36 W	      NA	      NA	      NA
  03/05/1893	   38 51 N	  124 55 W	      NA	      NA	      NA
  04/05/1893	   40 04 N	  125 38 W	      NA	      NA	      NA
  05/05/1893	   41 05 N	  125 45 W	      NA	      NA	      NA
  06/05/1893	   42 43 N	  125 49 W	      NA	      NA	      NA
  07/05/1893	   44 48 N	  125 51 W	      NA	      NA	      NA
  08/05/1893	   47 00 N	  125 33 W	      NA	      NA	      NA
  09/05/1893	   48 24 N	  124 26 W	      NA	      NA	      NA
  10/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  10/05/1893	        NA	        NA	      48.1	    -122.8	at sea on passage from san francisco cal to port townsend wash	            port townsend	
  11/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/05/1893	        NA	        NA	      48.1	    -122.8	at sea on passage from san francisco cal to port townsend wash	            port townsend	
  12/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  13/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/05/1893	        NA	        NA	      48.1	    -122.8	from port townsend wash to seattle wash	            port townsend	
  14/05/1893	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  15/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/05/1893	        NA	        NA	      48.1	    -122.8	from seattle wash to port townsend wash	            port townsend	
  16/05/1893	        NA	        NA	      48.1	    -122.8	            port townsend	            port townsend	
  16/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  17/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  18/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  19/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  20/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  21/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  22/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  23/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  24/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/05/1893	        NA	        NA	      48.1	    -122.8	       port townsend wash	            port townsend	
  25/05/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/05/1893	        NA	        NA	      48.1	    -122.8	port townsend wash unalaska alaska	            port townsend	
  26/05/1893	   48 49 N	  127 00 W	      NA	      NA	      NA
  27/05/1893	   49 23 N	  131 17 W	      NA	      NA	      NA
  28/05/1893	   49 52 N	  135 05 W	      NA	      NA	      NA
  29/05/1893	   50 31 N	  137 43 W	      NA	      NA	      NA
  30/05/1893	   51 06 N	  142 28 W	      NA	      NA	      NA
  31/05/1893	   51 54 N	  142 44 W	      NA	      NA	      NA
  01/06/1893	   52 14 N	  146 16 W	      NA	      NA	      NA
  02/06/1893	   53 02 N	  152 21 W	      NA	      NA	      NA
  03/06/1893	   53 40 N	  155 21 W	      NA	      NA	      NA
  04/06/1893	   53 41 N	  161 01 W	      NA	      NA	      NA
  05/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/06/1893	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  06/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/06/1893	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  07/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/06/1893	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  08/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/06/1893	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  09/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/06/1893	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  10/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/06/1893	        NA	        NA	      53.9	    -166.5	      dutch harbor alaska	             dutch harbor	
  11/06/1893	   54 25 N	  167 08 W	      NA	      NA	      NA
  12/06/1893	   56 14 N	  169 52 W	      NA	      NA	      NA
  13/06/1893	   58 47 N	  172 53 W	      NA	      NA	      NA
  14/06/1893	   61 25 N	  174 30 W	      NA	      NA	      NA
  15/06/1893	   64 10 N	  173 35 W	      NA	      NA	      NA
  16/06/1893	   64 13 N	  173 19 W	      NA	      NA	      NA
  17/06/1893	   64 17 N	  172 56 W	      NA	      NA	      NA
  18/06/1893	   64 33 N	  174 42 W	      NA	      NA	      NA
  19/06/1893	   64 49 N	  171 42 W	      NA	      NA	      NA
  20/06/1893	        NA	        NA	      65.7	    -171.1	south head st lawrence bay	          st lawrence bay	
  20/06/1893	        NA	        NA	      65.7	    -171.1	at anchor south side of south head st lawrence bay siberia	          st lawrence bay	
  21/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/06/1893	        NA	        NA	      65.0	    -168.1	             kings island	            king's island	
  22/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/06/1893	        NA	        NA	      65.0	    -168.1	             kings island	            king's island	
  22/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/06/1893	        NA	        NA	      65.0	    -168.1	             kings island	            king's island	
  22/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/06/1893	        NA	        NA	      65.2	    -166.7	at anchor outside port clarence alaska	           port clearance	
  23/06/1893	        NA	        NA	        NA	        NA	port clarence reindeer station	                       NA	
  23/06/1893	        NA	        NA	        NA	        NA	at anchor port clarence raindeer station alaska	                       NA	
  24/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/06/1893	        NA	        NA	      65.2	    -166.7	     port clarence alaska	           port clearance	
  25/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/06/1893	        NA	        NA	        NA	        NA	point spencer port clarence alaska	                       NA	
  26/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/06/1893	        NA	        NA	        NA	        NA	point spencer port clarence alaska	                       NA	
  27/06/1893	   65 42 N	  169 37 W	      NA	      NA	      NA
  28/06/1893	   65 18 N	  169 45 W	      NA	      NA	      NA
  29/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/06/1893	        NA	        NA	      65.2	    -166.7	pt spencer port clarence alaska	           port clearance	
  30/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/06/1893	        NA	        NA	        NA	        NA	point spencer port clarence alaska	                       NA	
  30/06/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/06/1893	        NA	        NA	      65.2	    -166.7	alongside coaling bk jd peters pt spencer port clarence alaska	           port clearance	
  01/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/07/1893	        NA	        NA	      65.2	    -166.7	point spencer port clarence alaska	           port clearance	
  02/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/07/1893	        NA	        NA	      65.2	    -166.7	point spencer port clarence alaska	           port clearance	
  03/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/07/1893	        NA	        NA	      65.2	    -166.7	point spencer port clarence alaska	           port clearance	
  04/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/07/1893	        NA	        NA	      65.2	    -166.7	point spencer port clarence alaska	           port clearance	
  05/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/07/1893	        NA	        NA	        NA	        NA	at anchor point spencer port clarence alaska	                       NA	
  06/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/07/1893	        NA	        NA	        NA	        NA	point spencer port clarence alaska	                       NA	
  07/07/1893	   65 24 N	  169 39 W	      NA	      NA	      NA
  08/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/07/1893	        NA	        NA	      65.7	    -171.1	at anchor south side of south head st lawrence bay siberia	          st lawrence bay	
  09/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/07/1893	        NA	        NA	        NA	        NA	at anchor port clarence reindeer station alaska	                       NA	
  11/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/07/1893	        NA	        NA	        NA	        NA	at anchor port clarence reindeer station alaska	                       NA	
  12/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/07/1893	        NA	        NA	      65.2	    -166.7	port clarence reindeer station alaska	           port clearance	
  13/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/07/1893	        NA	        NA	      65.8	    -169.1	       nw pt ratmanoff id	                 ratmanof	
  14/07/1893	        NA	        NA	      65.8	    -169.1	             ratmanoff id	                 ratmanof	
  14/07/1893	        NA	        NA	      63.1	    -168.9	at anchor south side of east cape siberia	                east cape	
  15/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/07/1893	        NA	        NA	      63.1	    -168.9	at anchor south side of east cape siberia	                east cape	
  16/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/07/1893	   66 16 N	  169 52 W	      NA	      NA	      NA
  20/07/1893	   66 42 N	  164 28 W	      NA	      NA	      NA
  21/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/07/1893	   67 36 N	  164 43 W	      NA	      NA	      NA
  23/07/1893	   68 35 N	  166 27 W	      NA	      NA	      NA
  24/07/1893	   69 13 N	  164 36 W	      NA	      NA	      NA
  25/07/1893	   69 52 N	  162 54 W	      NA	      NA	      NA
  26/07/1893	   70 26 N	  160 32 W	      NA	      NA	      NA
  27/07/1893	   70 57 N	  158 52 W	      NA	      NA	      NA
  28/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/07/1893	        NA	        NA	        NA	        NA	at anchor off us refuge station point barrow alaska	                       NA	
  30/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/07/1893	        NA	        NA	        NA	        NA	at anchor off us refuge station point barrow alaska	                       NA	
  31/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  31/07/1893	        NA	        NA	        NA	        NA	at anchor off refuge station point barrow alaska	                       NA	
  31/07/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  31/07/1893	        NA	        NA	      71.3	    -156.8	at anchor off us refuge station point barrow alaska	           refuge station	
  01/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/08/1893	        NA	        NA	      71.3	    -156.8	at anchor off us refuge station cape smyth alaska	           refuge station	
  02/08/1893	   70 59 N	  159 30 W	      NA	      NA	      NA
  03/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/08/1893	        NA	        NA	      71.4	    -156.5	at anchor off point barrow alaska	             point barrow	
  05/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/08/1893	        NA	        NA	      71.4	    -156.5	at anchor off port barrow alaska	             point barrow	
  06/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/08/1893	        NA	        NA	      71.4	    -156.5	at anchor off port barrow alaska	             point barrow	
  07/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/08/1893	        NA	        NA	      71.4	    -156.5	at anchor off point barrow alaska	             point barrow	
  08/08/1893	   71 14 N	  157 17 W	      NA	      NA	      NA
  09/08/1893	   69 56 N	  163 21 W	      NA	      NA	      NA
  10/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/08/1893	        NA	        NA	      68.9	    -166.2	bearings cape lisbourne nne x point hope swxs 12 s	            cape lisburne	
  11/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/08/1893	        NA	        NA	      68.3	    -166.8	at anchor north side of point hope alaska	               point hope	
  12/08/1893	   67 03 N	  170 35 W	      NA	      NA	      NA
  13/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/08/1893	        NA	        NA	      66.9	    -171.6	at anchor west of cape serdzekamen siberia	         cape serdzekamen	
  14/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/08/1893	        NA	        NA	      66.9	    -171.6	at anchor west side of cape serdzekamen siberia	         cape serdzekamen	
  15/08/1893	   66 37 N	  172 10 W	      NA	      NA	      NA
  16/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
