     04/1946,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j,k
  20/04/1946,,,47.6,-122.3,     pier 90 seattle wash,                  seattle,,,,
   21/04/1946,,,47.6,-122.3,moored starboard side to pier 90 berth 3 at naval supply depot seattle washington,                  seattle,,,,
   21/04/1946,,,47.6,-122.3,pier 90 seattle washington,                  seattle,,,,
  22/04/1946,,,47.6,-122.3,moored starboard side to pier 90 berth 3 naval supply depot seattle washington,                  seattle,,,,
  22/04/1946,,,47.6,-122.3,pier 90 seattle washington,                  seattle,,,,
  23/04/1946,,,47.6,-122.3,moored starboard side to pier 90 berth 3 us naval station seattle wash,                  seattle,,,,
  23/04/1946,,,47.6,-122.3,pier 90 seattle washington,                  seattle,,,,
  24/04/1946,,,47.6,-122.3,moored as before starboard side to pier 90 berth 3 us naval station seattle wash,                  seattle,,,,
  24/04/1946,,,47.6,-122.3,pier 90 berth 3 seattle wash,                  seattle,,,,
  25/04/1946,224,654,47.6,-122.3,moored starboard side to pier 90 berth 3 naval station seattle washington,                  seattle,,,,
  25/04/1946,90,3,47.6,-122.3,pier 90 berth 3 seattle wash,                  seattle,,,,
  26/04/1946,,,30.6,-122.3,moored starboard side to pier 90 berth 3 seattle washington,                    mashi,,seattle,,
  26/04/1946,   48 01 N,  122 37 W,47.6,-122.3,moored stbd side to pier 90 in berth 3 us naval sta seattle wn,                  seattle,,,,
  27/04/1946,,,29.9,32.6,standing into port angeles hbr,                   port t,,port angeles,48 06 47N,123 26 27W
  27/04/1946,,,29.9,32.6,uscg air station port angeles wash,                   port t,,port angeles,,
  28/04/1946,,,31.3,32.3,moored port side to coast guard air station dock port angeles wash,                port said,,port angeles,,
  28/04/1946,,,29.9,32.6,uscg air station port angeles wash,                   port t,,port angeles,,
  29/04/1946,,,30.6,117.2,moored port side to dock coast guard air station port angeles washington,                port said,,port angeles,,
  29/04/1946,,,29.9,32.6,  port angeles washington,                   port t,,port angeles,,
  30/04/1946,,,31.3,32.3,moored port side to coast guard air station dock port angeles washington,                port said,,port angeles,,
  30/04/1946,,,,,,,,,,
   31/4/1946,,,,,,,,,,
   31/4/1946,,,,,,,,,,
    1/5/1946,,,,,,,,,,
  01/05/1946,,,,,,,,,,
  01/05/1946,,,,,,,,,,
  01/05/1946,,,,,,,,,,
  01/05/1946,,,,,,,,,,
  01/05/1946,,,,,,,,,,
  01/05/1946,,,,,,,,,,
  01/05/1946,,,29.9,32.6,moored port side to cg air sta pier port angeles wash,                   port t,,port angeles,,
  01/05/1946,,,31.3,32.3,moored port side to cg air station pier port angeles wash,                port said,,port angeles,,
  01/05/1946,   48 23 N,  123 10 W,29.9,32.6,                   agulea,                   port t,,,,
  02/05/1946,,,48.4,-123.2,flora island light abeam to port distance 3 miles,                     nice,,,,
  02/05/1946,,,,,,,,,,
  02/05/1946,,,42.2,41.7,   cape mudge light 338 t,                     poti,,cape mudge light,49 59 54.8N,125 11 43.9W
  02/05/1946,   50 39 N,  126 13 W,49.9,-125.2,anchored in oyster bay bc canada,               oyster bay,,,,
  03/05/1946,,,50,-125.2,entering queen charlotte sound,               cape mudge,,,,
  03/05/1946,,,,,,,,,,
  03/05/1946,,,51.5,-127.9,right tangent of north point 012,              safety cove,,,,
  03/05/1946,   53 13 N,  128 40 W,51.5,-127.9,    safety cove bc canada,              safety cove,,,,
  04/05/1946,,,52.1,-128.1,standing up fitzhugh sound,          fitz hugh sound,,,,
  04/05/1946,,,,,,,,,,
  04/05/1946,,,54.1,-130.3,            sawyer island,            lawyer island,,,,
  04/05/1946,,,55.1,-131.1,underway revillagigedo channel southern alaska,    revillagagedo channel,,,,
  05/05/1946,,,55,-131.1,  hog rocks bearing 282 t,                fog rocks,,,,
  05/05/1946,     55 35,    131 66,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  06/05/1946,,,,,moored port side to coast guard operating base pier at ketchikan alaska,,,,,
  06/05/1946,,,,,,,,,,
  07/05/1946,,,,,moored port side to coast guard operating base pier ketchikan alaska,,,,,
  07/05/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  08/05/1946,,,,,moored port side to coast guard operating base ketchikan alaska,,,,,
  08/05/1946,,,55.4,-131.7,operating base ketchikan alaska,                ketchikan,,,,
  09/05/1946,,,,,moored port side to coast guard operating base ketchikan alaska,,,,,
  09/05/1946,,,55.4,-131.7,cg operating base ketchikan alaska,                ketchikan,,,,
  10/05/1946,,,31.3,32.3,moored port side to cg operating base dock ketchikan alaska,                port said,,ketchikan,,
  10/05/1946,,,55.4,-131.7,cg operating base ketchikan alaska,                ketchikan,,,,
  11/05/1946,,,,,moored port side to coast guard operating base dock ketchikan alaska,,,,,
  11/05/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  12/05/1946,,,31.3,32.3,moored port side to cg operating base ketchikan alaska,                port said,,ketchikan,,
  12/05/1946,   54 24 N,  131 04 W,55.4,-131.7,                      8am,                ketchikan,,,,
  13/05/1946,,,55.4,-131,lord rock light bearing 088 t distance 118 miles,                ketchikan,,,,
  13/05/1946,   50 16 N,  128 20 W,51.5,-128.5,                      8am,    queen charlotte sound,,,,
  14/05/1946,,,50.9,-129.1,solander island light cape cook abeam to port distance 60,          triangle island,,solander island cape cook,,
  14/05/1946,,,47.6,-122.3,     pier 90 seattle wash,                  seattle,,,,
  15/05/1946,,,43.7,7.2,marrowstone point light abeam to starboard distance 06 miles,                     nice,,marrowstone point light,,
  15/05/1946,,,47.6,-122.3,     pier 90 seattle wash,                  seattle,,,,
  16/05/1946,,,47.6,-122.3,moored port side to pier 91 berth e naval station seattle washington,                  seattle,,,,
  16/05/1946,,,47.6,-122.3,naval station seattle washington,                  seattle,,,,
  17/05/1946,,,47.6,-122.3,moored starboard side to berth 3 pier 90 naval station seattle washington,                  seattle,,,,
  17/05/1946,,,47.6,-122.3,us naval sta pier 90 seattle wash,                  seattle,,,,
  18/05/1946,,,47.6,-122.3,moored starboard side to pier 90 in berth 3 us naval station seattle washington,                  seattle,,,,
  18/05/1946,,,47.6,-122.3,naval station seattle wash,                  seattle,,,,
  19/05/1946,,,47.6,-122.3,moored starboard side to pier 90 berth 3 us naval station seattle wash,                  seattle,,,,
  19/05/1946,,,47.6,-122.3,naval station seattle wash,                  seattle,,,,
  20/05/1946,,,47.6,-122.3,moored starboard side to pier 90 berth 3 naval station seattle wash,                  seattle,,,,
  20/05/1946,,,47.6,-122.3,naval station seattle wash,                  seattle,,,,
  21/05/1946,,,47.6,-122.3,moored starboard to berth 3 pier 90 naval station seattle washington,                  seattle,,,,
  21/05/1946,,,47.6,-122.3,us naval station seattle washington,                  seattle,,,,
  22/05/1946,,,47.6,-122.3,proceeding to anchorage r elliot bay seattle washington,                  seattle,,,,
  22/05/1946,,,47.6,-122.3,elliot bay seattle washington,                  seattle,,,,
  23/05/1946,,,47.6,-122.3,anchored in 38 fathoms of water to 60 fathoms of chain on starboard anchor in anchorage r elliot bay seattle washington,                  seattle,,,,
  23/05/1946,,,47.6,-122.3,elliot bay seattle washington,                  seattle,,,,
  24/05/1946,,,53.4,-3,        radio tower 183 t,                   albert,,elliot bay seattle,47.603N,122.373W
  24/05/1946,,,47.6,-122.3,elliot bay seattle washington,                  seattle,,,,
  25/05/1946,,,53.4,-3,anchored in anchorage r elliot bay seattle washington,                   albert,,elliot bay seattle,,
  25/05/1946,,,47.6,-122.3,elliot bay seattle washington,                  seattle,,,,
  26/05/1946,,,53.4,-3,     smith bldg tower 069,                   albert,,seattle,,
  26/05/1946,,,47.6,-122.3,elliot bay seattle washington,                  seattle,,,,
  27/05/1946,,,47.6,-122.3,        radio tower 183 t,                  seattle,,,,
  27/05/1946,,,47.6,-122.3,naval station seattle washington,                  seattle,,,,
  28/05/1946,,,47.6,-122.3,moored starboard side to west side pier 91 in berth 4 us naval station seattle washington,                  seattle,,,,
  28/05/1946,,,47.6,-122.3,naval station seattle washington,                  seattle,,,,
  29/05/1946,,,47.6,-122.3,moored starboard side to west side of pier 91 berth no 4 naval station seattle wash,                  seattle,,,,
  29/05/1946,,,47.6,-122.3,naval station seattle washington,                  seattle,,,,
  30/05/1946,,,47.6,-122.3,moored starboard side to west side pier 91 berth 4 us naval station seattle washington,                  seattle,,,,
  30/05/1946,,,47.6,-122.3,pier 91 berth 6 us naval station seattle washington,                  seattle,,,,
  31/04/1946,,,47.6,-122.3,moored starboard side to pier 91 in berth 4 us naval sta seattle wash,                  seattle,,,,
  31/04/1946,,,,,,,,,,
  31/04/1946,,,,,,,,,,
  31/04/1946,,,,,,,,,,
  31/04/1946,,,,,,,,,,
  31/04/1946,,,,,,,,,,
  00/06/1946,,,,,,,,,,
  00/06/1946,,,,,,,,,,
  00/06/1946,,,,,,,,,,
  00/06/1946,,,47.6,-122.3,       seattle washington,                  seattle,,,,
  01/06/1946,,,47.6,-122.3, smith building tower 065,                  seattle,,,,
  01/06/1946,,,47.6,-122.3,       seattle washington,                  seattle,,,,
  02/06/1946,,,47.6,-122.3,  duwamish head light 298,                  seattle,,duwamish head,47 35 42W,122 23 10W
  02/06/1946,   48 11 N,  122 50 W,47.6,-122.3,       seattle washington,                  seattle,,,,
  03/06/1946,,,29.9,32.6,bush point light abeam to starboard distance 05 mile,                   port t,,bush point light,48 01N,122 36W
  03/06/1946,   49 26 N,  126 58 W,55.4,-131.7,                      8am,                ketchikan,,,,
  04/06/1946,,,29.9,132.6,waada island light abeam to port five miles,              rose island,,waadah island,48 22 55N,124 35 51W
  04/06/1946,   53 06 N,  130 36 W,55.4,-131.7,                      8am,                ketchikan,,,,
  05/06/1946,,,54.2,-130.8,butterworth rocks abeam to starboard distance 26 miles,           triple islands,,,,
  05/06/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  06/06/1946,,,55.4,-131.8,underway in the revillagigedo channel,          tongass narrows,,,,
  06/06/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  07/06/1946,,,,,moored port side to coast guard operating base dock ketchikan alaska,,,,,
  07/06/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  08/06/1946,,,,,moored port side to coast guard operating base pier ketchikan alaska,,,,,
  08/06/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  09/06/1946,,,,,moored port side to coast guard operating base dock ketchikan alaska,,,,,
  09/06/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  10/06/1946,,,,,moored port side to to the dock at the coast guard operating base ketchikan alaska,,,,,
  10/06/1946,,,,,,,,,,
  10/06/1946,,,,,,,,,,
  10/06/1946,   55 25 N,  131 48 W,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  11/06/1946,,,55.5,-132.5,caamano point light abeam to starboard distance 34 miles,             narrow point,,ketchikan,,
  11/06/1946,   56 36 N,  134 52 W,55.4,-131.7,                      8pm,                ketchikan,,,,
  12/06/1946,,,56.4,-134.9,south passage point light abeam to port distance 42 miles,            cape decision,,,,
  12/06/1946,   58 57 N,  140 45 W,55.4,-131.7,                      8am,                ketchikan,,,,
  13/06/1946,,,43.7,7.2,2200 sighted cape st elias bearing 11t distance 135 miles,                     nice,,cape st elias light,59 47 54N,144 35 56W
  13/06/1946,   59 48 N,  144 39 W,,,     cape st elias alaska,,,,,
  14/06/1946,,,59.9,-172.8,left tangent kayak island 031,            pinnacle rock,,,57 51N,135 02W
  14/06/1946,   60 15 N,  146 41 W,60.2,-146.6,     cape st elias alaska,        cape hinchinbrook,,,,
  15/06/1946,,,60.2,-146.6,     nuchek tangent 243 t,        cape hinchinbrook,,,,
  16/06/1946,   60 21 N,  146 34 W,60.3,-146.6,              port etches,              port etches,,,,
  16/06/1946,,,60.2,-146.6,left tangent cape hinchinbrook 340,        cape hinchinbrook,,,,
  17/06/1946,   60 30 N,  146 39 W,60.3,-146.6,              port etches,              port etches,,,,
  17/06/1946,,,60.5,-146.6,right tangent of small island 111 t,              port etches,,,,
  18/06/1946,,,60.5,-145.8,           cordova alaska,                  cordova,,,,
  18/06/1946,,,60.5,-146.2,gravina point light abeam to starboard distance 27 miles,      middle ground shoal,,,,
  19/06/1946,   60 21 N,  146 33 W,60.6,-146.2,          orca bay alaska,                 orca bay,,,,
  19/06/1946,,,60.4,-146.6,  standing to port etches,        cape hinchinbrook,,,,
  20/06/1946,   60 14 N,  146 41 W,60.3,-146.6,       port etches alaska,              port etches,,,,
  20/06/1946,,,60.4,-146.6,right tangent seal rocks 224,        cape hinchinbrook,,,,
  21/06/1946,   60 14 N,  146 41 W,60.2,-146.6, cape hinchinbrook alaska,        cape hinchinbrook,,,,
  21/06/1946,,,60.2,-146.6,anchored off cape hinchinbrook alaska,        cape hinchinbrook,,,,
  XX/06/1946,   60 14 N,  146 41 W,60.2,-146.6, cape hinchinbrook alaska,        cape hinchinbrook,,,,
  22/06/1946,,,60.2,-146.6,left tangent of hinchinbrook island 341 t,        cape hinchinbrook,,,,
  23/06/1946,   59 27 N,  146 24 W,60.2,-146.6,enroute cape hinchinbrook to middleton island,        cape hinchinbrook,,,,
  23/06/1946,,,59.4,-146.3,middleton island light 187,         middleton island,,,,
  24/06/1946,   59 37 N,  147 20 W,59.4,-146.3,  middleton island alaska,         middleton island,,,,
  24/06/1946,,,59.4,-146.3,anchored off middleton island alaska,         middleton island,,,,
  25/06/1946,,,60.1,-149.4,            seward alaska,                   seward,,,,
  25/06/1946,,,59.9,-149.4,caines head light abeam to starboard distance 08 miles,                   kodiak,,,,
  26/06/1946,   57 59 N,  152 09 W,57.8,-152.4,            kodiak alaska,                   kodiak,,,,
  26/06/1946,,,58.4,117.1,middle point abeam to starboard distance 15 miles,               tonki cape,,,,
  26/06/1946,,,57.8,-152.4,            kodiak alaska,                   kodiak,,,,
  27/06/1946,,,31.3,32.3,       enroute nob kodiak,                port said,,kodiak,,
  28/06/1946,   57 44 N,  152 14 W,57.8,-152.4,            kodiak alaska,                   kodiak,,,,
  28/06/1946,,,57.7,-152.2,moored port side to nob temporary fuel dock kodiak alaska,             cape chiniak,,,,
  29/06/1946,   56 36 N,  155 54 W,57.1,-170.3,                      8am,           st paul island,,,,
  29/06/1946,,,56.5,-154,maneuvering on various courses through sitkinak straight,           albatross bank,,,,
  30/06/1946,   54 47 N,  162 49 W,57.1,-170.3,                      8am,                  st paul,,,,
  30/06/1946,,,54.4,-164.7,umga island light abeam to port distance 10 miles,                seal cape,,,,
  30/06/1946,,,,,,,,,,
  30/06/1946,,,,,,,,,,
  30/06/1946,,,,,,,,,,
  00/07/1946,,,,,,,,,,
  00/07/1946,,,,,,,,,,
  00/07/1946,,,,,,,,,,
  00/07/1946,,,,,,,,,,
  00/07/1946,,,,,,,,,,
  01/07/1946,   56 08 N,  169 05 W,57.1,-170.3,enroute from kodiak island to st paul island,           st paul island,,,,
  01/07/1946,,,,,bound for st paul island from kodiak island,,,,,
  01/07/1946,,,,,,,,,,
  01/07/1946,,,57.2,-170.4,            cone hill 330,             otter island,,,,
  01/07/1946,   57 08 N,  170 18 W,57.1,-170.3,           st paul island,           st paul island,,,,
  02/07/1946,,,57.2,-170.4,anchored in village cove st paul island alaska,             otter island,,,,
  02/07/1946,   57 08 N,  170 18 W,57.1,-170.3,village cove st paul island alaska,           st paul island,,,,
  03/07/1946,,,57.2,-170.4,anchored in village cove st paul island alaska,             otter island,,,,
  03/07/1946,   57 08 N,  170 18 W,57.1,-170.3,village cove st paul island alaska,           st paul island,,,,
  04/07/1946,,,57.2,-170.4,anchored in village cove st paul island alaska,             otter island,,,,
  04/07/1946,   57 08 N,  170 18 W,57.1,-170.3,village cove st paul island alaska,           st paul island,,,,
  05/07/1946,,,57.2,-170.4,anchored in village cove st paul island alaska,             otter island,,,,
  05/07/1946,   57 08 N,  170 18 W,57.1,-170.3,village cove st paul island alaska,           st paul island,,,,
  06/07/1946,,,57.2,-170.4,    southwest point 300 t,             otter island,,,,
  06/07/1946,   57 08 N,  170 18 W,57.1,-170.3,village cove st paul island alaska,           st paul island,,,,
  07/07/1946,,,57.2,-170.4,anchored in village cove st paul island alaska,             otter island,,,,
  07/07/1946,   59 14 N,  172 10 W,60.4,-172.7,                      8am,               st matthew,,,,
  08/07/1946,,,60.4,-172.8,left tangent pinnacle island 184,        st matthew island,,,,
  09/07/1946,   60 10 N,  173 01 W,60.4,-172.7,       st matthews island,        st matthew island,,,,
  09/07/1946,,,60.4,-172.8,left tangent of pinnacle island 184 t,        st matthew island,,,,
  10/07/1946,   60 21 N,  172 43 W,60.4,-172.7,                      8am,        st matthew island,,,,
  10/07/1946,,,60.4,-172.8,right tangent pinnacle island 188,                    t o b,,st matthew island,,
  11/07/1946,   60 21 N,  172 43 W,60.4,-172.7,                8am  noon,        st matthew island,,,,
  11/07/1946,,,60.4,-172.8,         split rock 307 t,        st matthew island,,,,
  12/07/1946,   60 18 N,  172 41 W,60.4,-172.7,                      8am,        st matthew island,,,,
  12/07/1946,,,60.4,-172.8,off st mathew island bering sea,               gull rocks,,st matthew island,,
  13/07/1946,   60 20 N,  172 44 W,60.4,-172.7,st matthews island alaska,        st matthew island,,,,
  13/07/1946,,,60.4,-172.8,left tangent of bluff 345 t,                    t o b,,st matthew island,,
  14/07/1946,   60 20 N,  172 43 W,60.4,-172.7,st matthews island alaska,        st matthew island,,,,
  14/07/1946,,,60.4,-172.8,         split rock 333 t,               split rock,,st matthew island,,
  15/07/1946,   60 20 N,  172 43 W,60.4,-172.7,st matthews island alaska,        st matthew island,,,,
  15/07/1946,,,60.4,-172.8,right tangent sugarloaf mountain 113 t,       sugarloaf mountain,,,,
  16/07/1946,   60 20 N,  172 43 W,60.4,-172.7,st matthews island alaska,        st matthew island,,,,
  16/07/1946,,,60.4,-172.8,left tangent of pinnacle island 184 t,       sugarloaf mountain,,,,
  16/07/1946,   56 51 N,  170 30 W,53.9,-166.5,                      8am,             dutch harbor,,,,
  17/07/1946,,,55,166.3,1507 right tangent of st tenges island abeam to port 14 12 miles,                   port t,,,,
  xx/07/1946,   53 55 N,  166 29 W,53.9,-166.5, 8 pm dutch harbor alaska,             dutch harbor,,,,
  18/07/1946,,,53.9,-166.5,rounding cape cheerful distance 3 miles,             dutch harbor,,,,
  19/07/1946,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,,
  19/07/1946,,,31.3,-166.5,moored port side to ballyhoo dock naval operating base dutch harbor alaska,                port said,,,,
  20/07/1946,   53 55 N,  167 24 W,53.9,-166.5,                 unalaska,             unalaska bay,,,,
  20/07/1946,,,53.9,-166.5,eider point c bearing 290 t distance 2 miles,           cape kovrizhka,,,,
  20/07/1946,,,,,,,,,,
  20/07/1946,,,53.5,-168.2,cape chagak abeam to port distance 50 miles by radar,              cape chagak,,,,
  21/07/1946,   52 57 N,  168 53 W,53.9,-166.5,enroute dutch harbor to umnak isl alaska,             dutch harbor,,,,
  21/07/1946,,,53,-168.9,standing into nikolski bay umnak island alaska,                high hill,,,,
  22/07/1946,   52 57 N,  168 53 W,53,-168.9,      nikolski bay  umnak,             nikolski bay,,,,
  22/07/1946,,,53,-168.9,500 ft peak of high hill  045,                high hill,,,,
  23/07/1946,   52 57 N,  168 53 W,53,-168.9,                     noon,             nikolski bay,,,,
  23/07/1946,,,53,-168.9,enroute to st george island,             nikolski bay,,,,
  23/07/1946,   56 28 N,  169 08 W,56.6,-169.6,enroute umnak isl to st george isl alaska,                st george,,,,
  24/07/1946,,,29.9,32.6,         water tank 156 t,                   port t,,,,
  24/07/1946,   56 37 N,  169 33 W,56.6,-169.6,                     noon,         st george island,,,,
  25/07/1946,,,,,anchored in north anchorage st george island alaska,,,,,
  26/07/1946,   56 37 N,  169 33 W,56.6,-169.6,  st george island alaska,         st george island,,,,
  26/07/1946,,,,,                 tank 156,,,,,
  27/07/1946,   56 37 N,  169 33 W,56.6,-169.6, st george island  alaska,         st george island,,,,
  27/07/1946,,,,,anchored in north anchorage st george island alaska,,,,,
  28/07/1946,   56 37 N,  169 33 W,56.6,-169.6,  st george island alaska,         st george island,,,,
  28/07/1946,,,56.6,-169.5,         water tank 156 t,              garden cove,,,,
  29/07/1946,   56 38 N,  169 28 W,56.6,-169.6,  st george island alaska,         st george island,,,,
  29/07/1946,,,56.6,-169.6,anchored in north anchorage st george island alaska,         st george island,,,,
  30/07/1946,   56 37 N,  169 33 W,56.6,-169.6,  st george island alaska,         st george island,,,,
  30/07/1946,,,,,anchored in north anchorage st george island alaska,,,,,
  31/07/1946,   56 39 N,  169 45 W,55,166.3,       bering seas alaska,                  behring,,,,
  31/07/1946,,,56.6,-169.6,anchored in north anchorage st george island alaska,          north anchorage,,,,
  31/07/1946,,,,,,,,,,
  31/07/1946,,,,,,,,,,
  31/07/1946,,,,,,,,,,
  31/07/1946,,,,,,,,,,
  31/07/1946,,,,,,,,,,
  31/07/1946,,,,,,,,,,
  31/07/1946,,,,,,,,,,
  31/07/1946,,,,,,,,,,
  01/08/1946,   56 42 N,  169 37 W,56.6,-169.6,  st george island alaska,         st george island,,,,
  01/08/1946,,,56.6,-169.6,maneuvering north of st george island,         st george island,,,,
  02/08/1946,   56 33 N,  169 30 W,56.6,-169.6,off st george island alaska,         st george island,,,,
  02/08/1946,,,56.6,-169.6,underway in the bering sea off st george island alaska,         st george island,,,,
  03/08/1946,   56 36 N,  169 25 W,56.6,-169.6,     st george isl alaska,         st george island,,,,
  03/08/1946,,,56.6,-169.6,anchored in garden cove st george island ak,         st george island,,,,
  04/08/1946,   56 37 N,  169 33 W,56.6,-169.6,garden cove st george island ak usa,         st george island,,,,
  04/08/1946,,,,,anchored in north anchorage at st george island alaska,,,,,
  05/08/1946,   56 37 N,  169 33 W,56.6,-169.6,st george  north anchorage  alaska,          north anchorage,,,,
  05/08/1946,,,56.6,-169.6,anchored as before in north anchorage st george island alaska,         st george island,,,,
  06/08/1946,   56 18 N,  169 33 W,56.6,-169.6, st george island  alaska,         st george island,,,,
  06/08/1946,,,56.6,-169.6,anchored in north anchorage st george island alaska,            cape sarichef,,,,
  06/08/1946,   53 54 N,  166 31 W,53.9,-166.5,     enroute dutch harbor,             dutch harbor,,,,
  07/08/1946,,,56.6,-166.5,enroute from st george island alaska to dutch harbor alaska,             dutch harbor,,,,
  08/08/1946,   54 36 N,  165 56 W,53.9,-166.5,     dutch harbor  alaska,             dutch harbor,,,,
  08/08/1946,,,54.6,-164.9,approaching anchorage off cape sarichef alaska,            cape sarichef,,,,
  09/08/1946,   54 36 N,  164 56 W,54.6,-164.9,anchored off cape sarichef alaska,            cape sarichef,,,,
  09/08/1946,,,54.6,-164.8,anchored off cape saricheff unimak island alaska,              raven point,,,,
  10/08/1946,   54 23 N,  164 46 W,54.6,-164.9,     cape saucheff alaska,            cape sarichef,,,,
  10/08/1946,,,54.4,-164.8,anchored off cape saricheff unimak island,               scotch cap,,,,
  11/08/1946,,,54.4,-164.8,       scotch cap  alaska,               scotch cap,,,,
  11/08/1946,,,54.4,-164.7,      pinnacle rock 319 t,                seal cape,,,,
  11/08/1946,,,54.4,-164.8,       scotch cap  alaska,               scotch cap,,,,
  11/08/1946,,,54.4,-164.7,      pinnacle rock 319 t,                seal cape,,,,
  12/08/1946,,,54.4,-164.8,scotch cap  unimak isl  alaska,               scotch cap,,,,
  12/08/1946,,,54.4,-172.8,             light  045 t,                seal cape,,,,
  13/08/1946,   54 15 N,  166 04 W,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,,
  13/08/1946,,,54.4,-166.5,             light  045 t,             dutch harbor,,,,
  13/08/1946,,,53.9,-166.5,     dutch harbor  alaska,             dutch harbor,,,,
  13/08/1946,,,,,,,,,,
  14/08/1946,   53 53 N,  167 39 W,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,,
  14/08/1946,,,53.9,-166.5,standing out of iliuliuk bay,             iliuliuk bay,,,,
