  01/01/1895,        NA,        NA_2,37.8,-122.3,            sausalito cal,                sausalito,h,i,j
  11/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/02/1895,,,,,,,,,
  16/02/1895,,,,,,,,,
  16/02/1895,,,,,,,,,
  16/02/1895,,,,,,,,,
  16/02/1895,,,,,,,,,
  17/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/02/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/03/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  15/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  16/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  17/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  18/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  19/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  20/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  21/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  22/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  23/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  24/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  25/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  26/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  27/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  28/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  29/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  30/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  31/03/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  01/04/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  02/04/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  03/04/1895,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  04/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/04/1895,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/04/1895,,,,,,,,,
  26/04/1895,,,,,,,,,
  26/04/1895,   45 41 N,    140 11,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  08/11/1894,,,,,,,,,
  08/11/1894,     44 47,    138 02,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  09/11/1894,,,,,,,,,
  09/11/1894,     43 11,    134 52,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  10/11/1894,,,,,,,,,
  10/11/1894,     42 20,    131 01,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  11/11/1894,,,,,,,,,
  11/11/1894,     40 25,    127 24,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  12/11/1894,,,,,,,,,
  12/11/1894,     38 25,    123 37,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  13/11/1894,,,,,,,,,
  13/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,56.2,-3,fort point bearing sw dist 2 miles,                    forth,san francisco bay,37 42 30N,122 16 49W
  21/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/04/1894,   39 53 N,  124 26 W,,,,,,,
  22/04/1894,,,,,                   at sea,,,,
  22/04/1894,   43 00 N,  124 54 W,,,,,,,
  23/04/1894,,,,,                   at sea,,,,
  23/04/1894,   46 19 N,  124 16 W,,,,,,,
  24/04/1894,,,,,                   at sea,,,,
  24/04/1894,,,51.4,-127.9,pillar point straits of fuca swxs dist 4 12 miles,              clark point,strait of juan de fuca,48 12 00N,123 34 22W
  25/04/1894,,,48.1,-122.8,            port townsend,            port townsend,,,
  25/04/1894,,,47.6,-122.3,             seattle wash,                  seattle,,,
  26/04/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  26/04/1894,,,47.6,-122.3,             seattle wash,                  seattle,,,
  27/04/1894,,,47.6,-122.3,       seattle washington,                  seattle,,,
  27/04/1894,,,47.6,-122.3,             seattle wash,                  seattle,,,
  28/04/1894,,,47.6,-122.3,             seattle wash,                  seattle,,,
  28/04/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  29/04/1894,,,47.6,-122.3,             seattle wash,                  seattle,,,
  29/04/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  30/04/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  30/04/1894,,,,,,,,,
  01/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  01/05/1894,,,,,,,,,
  02/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  02/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  03/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  03/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  04/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  04/05/1894,,,,,middle pt se12s 2 12 miles,,,,
  05/05/1894,,,48.1,-122.8,       port townsend wash,            port townsend,,,
  05/05/1894,     48 43,    125 48,,,,,,,
  06/05/1894,,,,,                   at sea,,north pacific,,
  06/05/1894,     50 36,    129 35,,,,,,,
  07/05/1894,,,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  07/05/1894,     51 45,    131 23,,,,,,,
  08/05/1894,,,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  08/05/1894,     54 21,    133 39,,,,,,,
  09/05/1894,,,,,                   at sea,,north pacific,,
  09/05/1894,     55 37,  134 44 W,,,,,,,
  10/05/1894,,,,,                   at sea,,north pacific,,
  10/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  11/05/1894,,,,,                   at sea,,,,
  11/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  12/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  12/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  13/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  13/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  14/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  14/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  15/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  15/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  16/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  16/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  17/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  17/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  18/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  18/05/1894,   57 15 N,  136 23 W,,,,,,,
  19/05/1894,,,57,-135.4,             sitka alaska,                    sitka,,,
  19/05/1894,     58 42,    139 47,,,,,,,
  20/05/1894,,,,,                   at sea,,,,
  20/05/1894,     59 46,    144 37,,,,,,,
  21/05/1894,,,,,                   at sea,,,,
  21/05/1894,,,60.5,-145.8,east end hawkins id cordova bay,                  cordova,,,
  22/05/1894,,,,,                   at sea,,,,
  22/05/1894,,,60.5,-145.8,head of cordova bay alaska,                  cordova,,,
  20/05/1894,,,60.5,-145.8,       cordova bay alaska,                  cordova,,,
  20/05/1894,,,60.5,-145.8,head of cordova bay alaska,                  cordova,,,
  24/05/1894,,,60.5,-145.8,       cordova bay alaska,                  cordova,,,
  24/05/1894,,,60.3,-146.6,       port etches alaska,              port etches,,,
  25/05/1894,,,43.7,7.2,    prince williams sound,                     nice,prince william sound,60 36 54N,147 10 05W
  25/05/1894,,,60.3,-146.6,       port etches alaska,              port etches,,,
  26/05/1894,,,60.3,-146.6,       port etcher alaska,              port etches,,,
  26/05/1894,     59 36,    148 13,,,,,,,
  27/05/1894,,,,,                   at sea,,,,
  27/05/1894,     59 42,    152 12,,,,,,,
  28/05/1894,,,,,at sea cooks inlet alaska,,cook inlet,60 20 16N,151 52 30W
  28/05/1894,     60 28,    151 40,35.1,-2.1,at anchor off port kinai cooks inlet,                port kela,cook inlet,,
  29/05/1894,,,57.1,-170.3,munina village cooks inlet,             village cove,cook inlet,,
  29/05/1894,     59 30,    152 43,,,,,,,
  30/05/1894,,,56.2,-2.1,   fort kenai cooks inlet,                    forth,cook inlet,,
  30/05/1894,,,29.5,35,            karluk alaska,                    akaba,karluk alaska,57 34 41N,154 21 45W
  31/05/1894,,,57.4,-154.9,   at sea shilikof strait,          shelikof strait,,,
  31/05/1894,,,57.8,-152.4,uyak bay kodiak id alaska,                   kodiak,shelikof strait,57 52 54N,154 25 31W
  01/06/1894,,,29.5,35,          uyak bay alaska,                    akaba,shelikof strait,,
  01/06/1894,     58 00,    153 33,10,79.8,dry islands kodiak straits,             palk straits,raspberry island,58 04 02N,153 10 55W
  02/06/1894,,,29.5,35,          uyak bay alaska,                    akaba,shelikof strait,,
  02/06/1894,,,57.8,-152.4, st paul harbor kodiak id,           st paul harbor,,,
  03/06/1894,,,57.8,-152.4,    st paul harbor kodiak,           st paul harbor,,,
  03/06/1894,,,57.8,-152.4, st paul harbor kodiak id,           st paul harbor,,,
  04/06/1894,,,57.8,-152.4,    st paul harbor kodiak,           st paul harbor,,,
  04/06/1894,     55 44,    155 41,,,,,,,
  05/06/1894,,,,,                   at sea,,,,
  05/06/1894,     55 10,    160 30,,,,,,,
  06/06/1894,,,,,                   at sea,,,,
  06/06/1894,,,42.2,41.7,        sand point alaska,                     poti,sand point alaska,55.336593N,160.493234W
  07/06/1894,,,54.2,-165.6,sand point humboldt harbor,              lost harbor,sand point alaska,,
  07/06/1894,     55 18,    161 34,,,     off belkofsky alaska,,,,
  08/06/1894,,,42.2,41.7,        sand point alaska,                     poti,sand point alaska,,
  08/06/1894,     54 22,    164 02,,,,,,,
  09/06/1894,,,,,         belkofsky alaska,,,,
  09/06/1894,,,,,,,,,
  10/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  10/06/1894,,,53.9,-166.5, dutch harbor unalaska id,             dutch harbor,,,
  11/06/1894,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  11/06/1894,     54 00,    166 34,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  12/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  12/06/1894,     53 48,    167 26,,,,,,,
  13/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  13/06/1894,     52 52,    169 05,,,,,,,
  14/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  14/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  15/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  15/06/1894,,,,,,,,,
  16/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/06/1894,,,,,,,,,
  17/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/06/1894,,,,,,,,,
  18/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/06/1894,,,,,,,,,
  19/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/06/1894,     54 01,    166 50,,,,,,,
  20/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/06/1894,     53 07,    170 04,,,,,,,
  21/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  21/06/1894,     52 27,    172 45,,,,,,,
  22/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  22/06/1894,     55 04,    174 45,,,,,,,
  23/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  23/06/1894,     57 29,    176 43,,,,,,,
  24/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  24/06/1894,   59 48 N,  179 43 W,,,,,,,
  25/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  25/06/1894,   62 12 N,  178 10 E,,,,,,,
  26/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  26/06/1894,     62 13,  178 40 E,,,,,,,
  27/06/1894,   62 31 N,  177 42 E,62.3,179.1,wd of cape navarin siberia,            cape navarino,,,
  27/06/1894,   64 05 N,  177 27 W,,,,,,,
  28/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  28/06/1894,     64 22,  173 24 W,64.4,-173.3,       plover bay siberia,               plover bay,,,
  29/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  29/06/1894,   63 55 N,  171 40 W,,,,,,,
  30/06/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  30/06/1894,     65 31,  171 30 W,65.7,-171.1,south head st lawrence bay,          st lawrence bay,,,
  01/07/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  01/07/1894,     65 16,  170 08 W,,,,,,,
  02/07/1894,,,65.5,-171.1,       south head siberia,               south head,,,
  02/07/1894,,,,,,,,,
  03/07/1894,,,22.2,113.9,        at sea bering sea,                     taio,bering strait,66 0N,169 0W
  03/07/1894,,,,,reindeer station port clarence,,,,
  04/07/1894,,,,,at anchor off reindeer station port clarence alaska,,,,
  04/07/1894,,,,,cape riley nxw dist 5 miles,,,,
  05/07/1894,,,65.2,-166.7,of cape riley port clarence alaska,           port clearance,,,
  05/07/1894,,,,,cape riley nxw dist 5 miles,,,,
  06/07/1894,,,65.2,-166.7,at anchor off cape riley port clarence alaska,           port clearance,,,
  06/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  07/07/1894,,,65.2,-166.7,cape spencer port clarence alaska,           port clearance,,,
  07/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  08/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  08/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  09/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  09/07/1894,   65 17 N,  168 31 W,65.2,-166.7,     port clarence alaska,           port clearance,,,
  10/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  10/07/1894,,,65.7,-171.1,at anchor off south bay st lawrence bay siberia,          st lawrence bay,,,
  11/07/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  11/07/1894,     66 02,    169 55,63.1,-168.9,at anchor off east cape village siberia,                east cape,cape dezhnev,66 4 45N,169 39 7W
  12/07/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  12/07/1894,     66 02,    169 55,,,,,,,
  13/07/1894,,,63.1,-168.9,at anchor of westend of east cape siberia,                east cape,cape dezhnev,,
  13/07/1894,     62 02,    169 55,,,,,,,
  14/07/1894,,,63.1,-168.9,at anchor to westward of east cape siberia,                east cape,cape dezhnev,,
  14/07/1894,     66 02,    169 55,,,,,,,
  15/07/1894,,,63.1,-168.9,at anchor to westward of east cape siberia,                east cape,cape dezhnev,,
  15/07/1894,     66 02,    169 59,,,,,,,
  16/07/1894,,,63.1,-168.9,at sea off east cape siberia,                east cape,cape dezhnev,,
  16/07/1894,     66 12,    169 40,,,,,,,
  17/07/1894,,,66.2,-169.8,at anchor off whalen siberia,                   whalen,,,
  17/07/1894,     66 12,    169 40,,,,,,,
  18/07/1894,,,66.2,-169.8,at anchor off whalen siberia,                   whalen,,,
  18/07/1894,     66 12,    169 40,,,,,,,
  19/07/1894,,,66.2,-169.8,at anchor off whalen siberia,                   whalen,,,
  19/07/1894,     66 12,    169 40,,,,,,,
  20/07/1820,,,66.2,-169.8,at anchor off whalen siberia,                   whalen,,,
  20/07/1820,,,66.2,-169.8,at anchor off entrance to lagoon wd of whalen siberia,                   whalen,,,
  21/07/1894,,,60.1,-149.4,at anchor to westward of whalen siberia,                   seward,uelen,66 09 34N,169 48 33W
  21/07/1894,     66 40,    171 20,,,,,,,
  22/07/1894,,,60.1,-149.4,at anchor to westward of whalen siberia,                   seward,uelen,,
  22/07/1894,,,-11.1,-77.6,off chachony village siberia,                   huacho,uelen,,
  23/07/1894,,,-11.1,-77.6,off chachong village siberia,                   huacho,uelen,,
  23/07/1894,     65 39,    168 24,,,,,,,
  24/07/1894,,,,,                   at sea,,,,
  24/07/1894,,,,,anchored off reindeer station port clarence alaska,,,,
  25/07/1894,,,,,at anchor off reindeer station port clarence alaska,,,,
  25/07/1894,,,,,anchored off reindeer station port clarence alaska,,,,
  26/07/1894,,,,,at anchor off reindeer station port clarence alaska,,,,
  26/07/1894,     63 34,    168 13,,,at anchor off reindeer station port clarence alaska,,,,
  27/07/1894,,,,,at anchor off reindeer station port clarence alaska,,,,
  27/07/1894,   66 29 N,  165 03 W,,,,,,,
  28/07/1894,,,55,-1.5,      at sea arctic ocean,                      tic,kotzebue sound,66 32 46N,162 44 58W
  28/07/1894,     66 44,    162 27,,,,,,,
  29/07/1894,,,55,-1.5,      at sea arctic ocean,                      tic,kotzebue sound,,
  29/07/1894,     66 51,    163 13,59.9,10.8,             cape blossom,                     oslo,kotzebue sound,,
  30/07/1894,,,66.5,-162.8,at anchor off cape blossom kotzebue sound alaska,           kotzebue sound,,,
  30/07/1894,     68 17,    165 25,,,,,,,
  31/07/1894,,,55,-1.5,      at sea arctic ocean,                      tic,lisburne peninsula,68 30N,165 15W
  31/07/1894,     68 21,    166 43,,,,,,,
  01/08/1894,,,68.3,-166.8,at anchor off point hope alaska,               point hope,,,
  01/08/1894,     68 43,    166 24,,,,,,,
  02/08/1894,,,68.3,-166.8,at anchor off point hope alaska,               point hope,,,
  02/08/1894,     69 34,    163 28,,,,,,,
  03/08/1894,,,55,-1.5,      at sea arctic ocean,                      tic,point lay,69 44 28N,163 0 31W
  03/08/1894,     70 38,    160 10,70.6,-160,off wainwright inlet alaska,         wainwright inlet,,,
  04/08/1894,,,55,-1.5,      at sea arctic ocean,                      tic,barrow alaska,71 17 44N,156 45 59W
  04/08/1894,     71 13,    156 48,,,,,,,
  05/08/1894,,,70.6,-160,at anchor off wainwright inlet alaska,         wainwright inlet,,,
  05/08/1894,,,,,at anchor off refuge station point barrow alaska,,,,
  06/08/1894,,,,,at anchor off us refuge station point barrow alaska,,,,
  06/08/1894,,,,,at anchor off us refuge station point barrow alaska,,,,
  07/08/1894,,,,,at anchor off us refuge station point barrow alaska,,,,
  07/08/1894,     71 08,    157 10,71.3,-156.8,anchored off skull cliff alaska,              cape smythe,,,
  08/08/1894,,,,,at anchor off refuge station point barrow alaska,,,,
  08/08/1894,     71 00,    158 00,70.8,-159.7,anchored off nunaria village point belcher alaska,            point belcher,,,
  09/08/1894,,,70.8,-159.7,at anchor off skull cliff alaska,            point belcher,,,
  09/08/1894,   70 42 N,  160 24 W,70.8,-159.7,anchored off nunaria village point belcher at 8 am,            point belcher,,,
  10/08/1894,,,70.8,-159.7,at anchor off nunaria village point belcher alaska,            point belcher,,,
  10/08/1894,     69 47,    162 58,,,,,,,
  11/08/1894,,,70.4,-161.9,at anchor under blossom shoal icy cape alaska,           blossom shoals,,,
  11/08/1894,     68 53,    164 48,68.9,-165.1,anchored off corwin coal mine cape sabine,         corwin coal mine,,,
  12/08/1894,,,55,-1.5,      at sea arctic ocean,                      tic,lisburne peninsula,,
  12/08/1894,     68 53,    164 48,68.9,-165.1,anchored off corwin coal mine alaska,         corwin coal mine,,,
  13/08/1894,,,68.9,-165.1,at anchor off corwin coal mine alaska,         corwin coal mine,,,
  13/08/1894,     68 57,    165 00,68.9,-165.1,off corwin coal mine alaska,         corwin coal mine,,,
  14/08/1894,,,68.9,-165.1,at anchor off corwin coal mine alaska,         corwin coal mine,,,
  14/08/1894,     68 23,    166 55,54,-166.6,anchored off north side point hope alaska,              eider point,point hope,68 20 49N,166 45 47W
  15/08/1894,,,68.3,-166.8,at anchor off point hope alaska,               point hope,,,
  15/08/1894,     67 18,    167 53,,,,,,,
  16/08/1894,,,68.3,-166.8,at anchor off point hope alaska,               point hope,,,
  16/08/1894,     66 00,    170 00,63.1,-168.9,anchored off east cape village siberia at 8 pm,                east cape,cape dezhnev,,
  17/08/1894,,,69.8,176.2,    at sea bering straits,              long strait,bering strait,,
  17/08/1894,     66 16,    169 58,31.5,118.4,anchored off eumital village siberia,                    erjia,uelen,,
  18/08/1894,,,55,-1.5,      at sea arctic ocean,                      tic,bering strait,,
  18/08/1894,     65 44,    168 58,,,,,,,
  19/08/1894,,,31.5,118.4,at anchor off eumitowan village siberia,                    erjia,bering strait,,
  19/08/1894,,,,,anchored off us reindeer station port clarence alaska at noon,,,,
